"token_address","name","symbol","decimals","logo_uri"
"DibJoy8r4jgTBejSBJ711MWypKGoZmVPM8xjJw3Spump","terxfidgro","terxfidgro",6,"https://ipfs.io/ipfs/QmWrW6xzDwBMNxG9foJEoSvdd298nRhRdRgVTarot5zwJx"
"3xPP1Ko3SnV24VqHLKhqYRn9Q3fCqFemRy9G2QDnpump","Resting Owl Face","ROF",6,"https://ipfs.io/ipfs/QmQY5A2cbQtS4MxfPNf94NjWQjRsVCFw5G4S82wKqbua6J"
"7Jj3nomQMTaVp2LMJQCneJcBq62e4sULGxBdqBRWpump","Sad & Poor Index","S&P",6,"https://ipfs.io/ipfs/QmbpBYT3NXTBMnw4zPejhdqokAEqThDUurQU7C6kD29ufv"
"Hhy9Mt9Viz2KwScnJZ7UKKi5DbyFhN87bMohUFZ1pump","MemeCat","MCAT",6,"https://ipfs.io/ipfs/QmP2se6r6pH2uEAJNXaHan1V9zcqBmAcajBjWB7ENXJRDe"
"BTjHrLuT2Jk9QFLjzVEWvnPNFHWayfDJQHfzLjyvpump","Dog wif nail ","NAIL ",6,"https://ipfs.io/ipfs/bafkreidabcdrsos6e6m3sv3v2nbnngbkwtw7xnpc4mzpw6zb5cfs57i4um"
"HFWSoC79HPcWCpncmVZCA37oevEGg2APj8ayUnYQgXSV","xenomemeticorp","Xeno",6,"https://dd.dexscreener.com/ds-data/tokens/solana/HxgX35UHdWgYUVYGn1F1SLjgsqBjF4zCamAQjTMUpump.png?claimId=8_YS4CVyzCY5YnXE"
"GBu8UZXQ7uL2X2Bz6Mc1cZuNUtnX18CZnubVZBZpump","PEPE ERA","$Pepe",6,"https://ipfs.io/ipfs/QmXajkN5c2MZAXViEUZcsV3RMJuRiQ8JjhfkHbPkgZuLYe"
"G5MUYhGpF4rAycarEEcN5TXqA1kfHEjEWCQEvDzHpump","Cute Style","CUTIE",6,"https://ipfs.io/ipfs/QmaviBSBP3aEmozpH7Kq9k13rrhD69MquybxSHAiUkBbXB"
"FShHhETm4qTpcbdSPm7wjEnxjxQdMxguH4UatR9wtTz5","ChillTrip","$CHILL",6,"https://place-halfway-heard.quicknode-ipfs.com/ipfs/QmVgfhMS9ERZfXfRVgqTmk13HGP8RHNGJnBb1WfMXMyHRw"
"BPv5sWk8AzWPWw8DjpgJLQYhVW6n8MgHKxbjVxhebonk","Ragecomics","RAGE",6,"https://ipfs.io/ipfs/bafkreie3pkbek4qziqhiqcsdqv4l26awhux7qsrmeav7wz4hkq3oenn3o4"
"25A5jS1TM2mSkW8jimB2G4x5jKivSiG3SYS35CHqpump","りにぎる","Dubi",6,"https://ipfs.io/ipfs/QmefBZkBx3PyqoXgXiViR1mCw2dBA8d8JinWjZXZtNqWvm"
"AgtDwar2PUeAwAvKWFnhHu499XWWFeEv62hEp6kspump","DREAM official token","DREAM",6,"https://ipfs.io/ipfs/QmUJ6jVQUWvDk1nHUCdCqKCx6kkVi2afjJpksCoEDHRSPA"
"Gd7n4Si5rBMVRC1LTSv8PZzaDZ8NnTMoHnqNPMM4pump","Ginger cat","Ginger cat",6,"https://ipfs.io/ipfs/QmTitG4qecCnYtoDkNyVryNtqE3JPnnaTuANwdBCKAyt86"
"5ReHZWN2y1v6fLqbtYQY7o6N1cotwSCWhhGqReTvzoc1","1000X","1000X",9,NULL
"2V6ZjbYC4J5eFhbrAtctN2kJHDnD36NffGTWpdXzpump","Creampiecoin","CREAMPIE",6,"https://ipfs.io/ipfs/QmUw68iZ1gfa2JuYefQdA1tZs5R6rYfNbLs6X56VGjUmQK"
"3iWbVCY2eeKC8qkHdpsduoYKhZKM14MR2EX6iJ3f3xgk","SHABI","SB",6,"https://pump.mypinata.cloud/ipfs/QmXrwvd3tQKpE3VzzTd2UYoqk3wH45jATyWWZED1Dh3eZh"
"5mLaMeukvQn4mKsHZN5qLRKrYcgvdoitMBLBGn1Bbonk","Neuralink Cat","ELLIE",6,"https://ipfs.io/ipfs/bafkreibh5cxdcwu6roiztnhsu5st3v3luhjo5kjd47wrazmj4gippwm5su"
"9xyhcEN4e13z5K6rAVojzzw8mMu3bmkm4XZd3dc7pump","Just A Chill Pengu","CHILLPENGU",6,"https://ipfs.io/ipfs/QmPHtfSfZHUFtqtxU9gs1jyeuVYyNJaYAsKMcDL45zK3tq"
"6tfnWMt7BNRvJHSbUXsEXD2AEUWHToEzKB8uh8copump","PENNY","$0.01",6,"https://ipfs.io/ipfs/QmVUrYXoGfDqa74TiGmQqLFLyJ5crBwVA27v9aj2acGnqV"
"c794qZNpJZi2vwthsfGrneffsnxbf9zo9uwf1TYpump","Croc Wif Crocs","CROCS",6,"https://ipfs.io/ipfs/bafkreiadqb6k6er662ttniurxn5p5awvvo3nmmijek3dgl2crxeqzqsw3e"
"7RhcnEJ4Nz5BNkUg5V5vWZaGGiFgnTjEPvLFYLGfbonk","DOOM","DOOM",6,"https://ipfs.io/ipfs/bafybeidx7lymaicrm2aj62ksbu2vlqwmesfja4eduakgh3j3u3ejcpgnnq"
"9D7gT3i1yHvfpgBuJR3jrH7V8G9fT6QJg5YoRBE3u4Lf","italian brainrot coin","0.0001",6,"https://ipfs.io/ipfs/QmZsTWjGYBH56yydwCEU34CqP97YF8xuNKTg5nDv53rMna"
"2Xq6KJS2VK6JCv5ELG24nA6sSAnAVfDauddfgGC2yh9o","TestPumpCoin","TPC",6,NULL
"3WzeMfmQvGG6et1dWswfaQvTB8Hs2CosdPeoKrAXpump","AiBox","AiBox",6,"https://ipfs.io/ipfs/Qmf9eRXHtbgpdVwvtNRFbsPjvFVpysGignjFdVYQC4NbsQ"
"43E7vE97yWCjKmHX7DzYpi5cDB2NmTGe48THmepUpump","Coin that makes you smile","SMILE",6,"https://ipfs.io/ipfs/QmUmamL1eG2HVXRQ4DY6PmWUG9fQYECDYdVSJf3f6NpMcQ"
"5xSC8f8XD8XKn2kWSF3TXxVRPSjfR1af52av6N3npump","solana pit vipers ","SPV",6,"https://ipfs.io/ipfs/QmS7Sk6nh2TKMVtXvqsMMM1ayXp78h5RRXwSiiVBdMzhZP"
"Gse1fQt1LtiE3Dm8e7EzjASrS96CvNY1rvgCaUvSpump","MAN SUCKED DICK FOR .22 SOL",".22 Solana",6,"https://ipfs.io/ipfs/QmVNYWVsTxGQYbuNYDtpdCCJXrGXJvvHnfJwkUU1v4Lowg"
"Gtmb7cww5WWNcyNQJefV14SHAKSAueo4Fh3Y4zNipump","stick we need everyday ","greenstick",6,"https://ipfs.io/ipfs/QmZd3AqYsvf2k8uLGsTGiVMVvYppZC4cVKrKXkbFTXPna9"
"8dSyP4J74qe8xaRGDjc8rkdH9QUZwWTpgQnQftvipump","New 12 Million Years Old Rhino","TELEOCERAS",6,"https://ipfs.io/ipfs/QmRLmmoj2Yq9JBRnWRwFdue8pTcqWGN2Y1GK5bZznzLkVB"
"58UC31xFjDJhv1NnBF73mtxcsxN92SWjhYRzbfmvDREJ","HODL","HODL",6,"https://bafkreifeca3dywn4p43ucvzq5r6xf6swijbpbpa4zl5by3kvduzbhovypy.ipfs.nftstorage.link"
"4mbdysBik3jmzD7mt6FGPDsMxnYcxExSQRFjPucdpump","tsotchke","TSOTCHKE",6,"https://ipfs.io/ipfs/QmSxAF19uZZPF85fqDi5oVb2d7n5LCCKNRxpBNFXaangow"
"7F472ypvRC7L6XM3cCiqwLGeJJ7GoPrVMbCVV2PPpump","LOUDIO","LOUD",6,"https://ipfs.io/ipfs/QmXrPW2YUMUZrs7oSGTpTtdzv5UuEAZK8rFtqqJjbRDDn5"
"4pKtG7pXYLDoGEpb3h2pRBvxbLiG3V1hTgXYyo1Rpump","Giraffe Health Morning Routine","キリン",6,"https://ipfs.io/ipfs/QmPDBAe5VC3ujXJVubVs8wTu4ncPU9WswjudytNv4iDjmb"
"6URpLQmJStfS8hCk2uiDstCJJYqNnGyUcYFLT786aen2","deadstag","DSTAG",9,"https://gateway.irys.xyz/_EqzOy9fQCOM_TzjQOvjbqfxw4lBt3XLSNtBtQVmULA"
"9ZrZHBqKRF2boC6eYor3ujR23XTrNpcDQtxtbk5pbonk","Let's Bonk Bitcoin !!!","BitBonk",6,"https://ipfs.io/ipfs/bafkreiczqtozrx6wu7aygcqor6wsu454yp2ipdqlxe2j6v4tigfbagg6fy"
"J9tw9MzBgb9BagUNuDTUrdK1a5s7uxudpkt54LotkwiE","Bear","BEAR",6,"https://ipfs.io/ipfs/QmRM3QmzEtMPNMipeSk9Z9cBVZLEFdQUBh3a2FfQ439jUN"
"7A9wxBMeeV3RXRpSVtMd8csHzbcz5WJVzLFzUsyKpump","rug","rug",6,"https://ipfs.io/ipfs/QmQQdJDBAHR1aj7BmPna2qPSaSFuCNkcWEoYwTet6UnyAJ"
"4ZShWNoQUczK72d58MAG8D2hFTfYv7YNcmPk9itzRkBM","Solcaine","BUMP",8,"https://i.postimg.cc/Sj0xJqyp/photo-2024-02-03-15-03-13.jpg"
"FxxNpUDS3dfzWrE37ChkxVaLuqwheKKjBDwxQ59Tpump","LET TRUMP COOK","LTC",6,"https://ipfs.io/ipfs/QmVJVKsweUPdZka4fcqzFEseTikQx4HKLDy9tRWKt5hHMZ"
"DsfZNMQfDfq87VTrxK1gcxc3tvV1DyWjQCcNJxwmpump","The Papal Belvedere ","FartPope",6,"https://ipfs.io/ipfs/QmciuJyhNPwYECRAaxNGmCnWvpeEP1yF87pCZE83cHiBLp"
"8C5abgzgF7HiZgbzpXTqzLBXUezF3qCpMLqhmJcapump","Glok-chan","Glok-chan",6,"https://ipfs.io/ipfs/QmV3RZdXQwCeQoodDkhJdnjRHZDtP9KEijsn167CcGgPQY"
"4mmPW9cjbnJ71XNMLV8PTkmU8u9uWpx7AfyDmiNUbonk","THE PL","TPL",6,"https://ipfs.io/ipfs/bafkreibv2iqwqp4rfagvihop5llcu4whxoqcpquckaew4im2asn3bf4hre"
