"token_address","name","symbol","decimals","logo_uri"
"EQC01hzZlBk3S-g0Zo8EJsea1hRXQRkzdECx0ymmg97fM1Ou","Mr Tomat","TOMATO",9,NULL
"EQCVMIX8SS4musC2wJiSW-QdF3Z_wYaNJ_uuVDCAWX4y7NW2","SHBX","SHBX",9,"https://cdn.blum.codes/6ae116b5-9bd7-4882-a8c6-06ff4b4fda17/448f2d94-f5b5-4fc8-9aca-b2008b31f51c"
"EQA9pzUpyLh6-H0Z--avQK-L35iRtjM9J0pLpPJPiM83J63Q","SEX","SEX",9,NULL
"EQCaKUvX7UMcSGHHl6zxV5Vz6MLABp2AkeoRjO1dfWTp-7R1","SINERIZE","SINERIZE",9,NULL
"EQD9blHmitNVN_s3BFVXZJU1odwt6J6K_IJpO5TxpjVojDns","TurboPepe","TPEP",9,NULL
"EQCdhu0OpKkU2ThSsbjJl6wiOYmCCIBt4DJq0CPnRko1FdwM","Fan même OIAU","OIAU",9,"https://cdn.blum.codes/d8c741dd-0f98-47e3-8ef5-a56d1b89a1e4/694a98b6-5453-455e-a1da-bc35f4119286"
"EQDg58BiWgsMEcHsM4QQrJfjfKzaLfdQJqCk_HxY7OZOBXRi","Bonus","BON",9,"https://cdn.blum.codes/62d9ea19-5a9f-4229-b280-8ca3323dac11/251433b9-7aed-4357-90cf-813233eae32f"
"EQAn8NJrlDNUD2aBUbBGu1eKwx2WqQasyBKHBCShLNBE9cWb","Paws","COIN",9,"https://cdn.blum.codes/7ab78ec8-c330-468d-888f-a8ee9bf475c1/1cd5e94e-477c-4700-ad57-6852830588d4"
"EQBQ95vIZt256Z3-s4M9Pph4YBLZFdzsUBg7tTOPBsnaAc5l","Mouse Mouse","MM",9,"https://cdn.blum.codes/2db3d18c-6fd7-4c42-8915-d25072bf0a4e/059a51eb-55a5-411e-b501-3e17358d8867"
"EQBQmwOqTNThVk7Y3TH1eFF6Ab0GFMipFwWq4lgKwvC9D99g","anhtuccrypto2","ATCT",9,"https://cdn.blum.codes/68923a88-9e14-46f3-8390-86c2ac84ec38/66a3162e-4a02-4d17-bcf9-7bca0a002960"
